                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2988,                 1.7319,                 1.1003,                0.68074,                0.75754,                0.75896,                0.48766,                 1.2027,                0.97964,                 1.1258,             0.00020716,             0.00020716,             0.00020716
                      2,                 1.2093,                0.97277,                 1.0674,                0.84614,                0.82042,                0.88718,                0.58371,                 1.1662,                0.74044,                 1.1215,             0.00041001,             0.00041001,             0.00041001
                      3,                 1.1761,                0.86023,                 1.0598,                0.85056,                0.83691,                0.88803,                0.58406,                 1.1869,                0.71883,                 1.1169,             0.00060735,             0.00060735,             0.00060735
                      4,                 1.1607,                0.82291,                 1.0627,                0.90431,                0.85946,                0.91258,                0.60723,                 1.1617,                0.63449,                 1.1164,             0.00060025,             0.00060025,             0.00060025
                      5,                  1.144,                0.75432,                 1.0522,                0.90036,                0.88477,                0.92243,                0.61348,                 1.1379,                0.62237,                 1.1052,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.1402,                0.72487,                 1.0497,                0.90287,                0.87824,                0.92555,                0.62516,                 1.1223,                0.59856,                 1.0939,               0.000592,               0.000592,               0.000592
                      7,                 1.1185,                0.68876,                 1.0424,                0.93007,                0.89125,                0.93789,                0.63069,                 1.1245,                0.56888,                 1.0875,             0.00058375,             0.00058375,             0.00058375
                      8,                 1.1016,                0.67151,                 1.0372,                0.93176,                0.90246,                0.94218,                0.63251,                 1.1539,                0.54536,                 1.0981,              0.0005755,              0.0005755,              0.0005755
                      9,                 1.0886,                0.63808,                 1.0278,                0.91806,                0.90354,                0.93558,                 0.6375,                 1.1225,                0.53832,                 1.0893,             0.00056725,             0.00056725,             0.00056725
                     10,                 1.0796,                0.62616,                 1.0245,                0.92559,                0.90096,                0.93872,                0.63491,                 1.1324,                0.54733,                 1.0971,               0.000559,               0.000559,               0.000559
                     11,                 1.0668,                0.60789,                  1.015,                0.93181,                0.91465,                0.94449,                 0.6424,                 1.1115,                0.52201,                 1.0808,             0.00055075,             0.00055075,             0.00055075
                     12,                 1.0654,                 0.5979,                  1.022,                0.93824,                0.91644,                 0.9483,                0.65165,                 1.0871,                0.50443,                  1.068,              0.0005425,              0.0005425,              0.0005425
                     13,                 1.0563,                0.59609,                 1.0149,                0.92822,                0.91063,                0.94199,                0.64485,                 1.1004,                0.51469,                 1.0852,             0.00053425,             0.00053425,             0.00053425
