               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028046,            0.088082,           0.0072227,             0.96239,             0.93764,             0.94996,             0.65175,            0.029287,            0.059787,           0.0076553,             0.00505,             0.00505,             0.00505
                  37,            0.027631,             0.08676,           0.0070424,             0.96162,              0.9345,              0.9489,             0.65021,            0.029541,            0.059782,           0.0077434,           0.0049086,           0.0049086,           0.0049086
                  38,            0.027463,            0.086619,           0.0070304,             0.95996,             0.93426,             0.94677,             0.65273,            0.029003,            0.059595,           0.0074599,           0.0047671,           0.0047671,           0.0047671
                  39,            0.027489,            0.086136,           0.0067633,             0.96089,             0.93719,              0.9476,             0.65189,            0.029357,            0.060477,           0.0076912,           0.0046257,           0.0046257,           0.0046257
                  40,            0.027297,            0.086125,           0.0065672,             0.96372,             0.94018,             0.95074,             0.65769,            0.028808,            0.059462,           0.0068852,           0.0044843,           0.0044843,           0.0044843
                  41,             0.02728,            0.085371,           0.0065787,             0.96241,             0.93948,             0.94698,             0.65442,            0.028928,            0.059947,           0.0071111,           0.0043429,           0.0043429,           0.0043429
                  42,            0.026847,            0.085978,           0.0063825,             0.96479,             0.94137,             0.95082,             0.65634,            0.028954,            0.059665,           0.0068995,           0.0042014,           0.0042014,           0.0042014
                  43,            0.026684,            0.083509,           0.0065059,             0.96569,             0.94123,             0.94665,             0.65186,            0.029175,            0.060594,           0.0068866,             0.00406,             0.00406,             0.00406
                  44,             0.02652,            0.083041,           0.0063083,             0.96176,             0.94023,             0.94589,             0.65275,              0.0294,             0.06004,           0.0075235,           0.0039186,           0.0039186,           0.0039186
                  45,            0.026413,            0.085791,           0.0063534,             0.96519,             0.94312,             0.94996,             0.65493,            0.029233,            0.060285,           0.0067766,           0.0037771,           0.0037771,           0.0037771
                  46,            0.026652,            0.084086,           0.0062488,             0.96065,             0.93892,             0.94673,             0.65017,            0.029303,            0.061037,           0.0071622,           0.0036357,           0.0036357,           0.0036357
                  47,            0.025955,            0.082699,           0.0061457,             0.96422,             0.94033,             0.94612,             0.65096,            0.029123,            0.060745,           0.0068041,           0.0034943,           0.0034943,           0.0034943
                  48,            0.025986,             0.08248,           0.0060995,              0.9641,             0.94188,             0.94972,              0.6526,            0.029079,            0.060506,           0.0068303,           0.0033529,           0.0033529,           0.0033529
                  49,            0.025836,            0.081887,           0.0058774,             0.96423,             0.94186,              0.9482,             0.65638,            0.028871,            0.060912,           0.0065672,           0.0032114,           0.0032114,           0.0032114
                  50,            0.026161,            0.082679,           0.0059482,              0.9662,             0.94211,             0.94881,             0.65732,             0.02915,            0.061092,            0.006789,             0.00307,             0.00307,             0.00307
                  51,              0.0256,             0.08254,           0.0056902,             0.96584,             0.94415,             0.94764,             0.65303,            0.029078,            0.061173,           0.0069634,           0.0029286,           0.0029286,           0.0029286
                  52,            0.025316,            0.080161,           0.0057925,             0.96468,             0.94429,             0.94729,             0.65298,            0.028896,             0.06149,           0.0068387,           0.0027871,           0.0027871,           0.0027871
                  53,            0.025228,            0.081734,           0.0055015,             0.96428,             0.94312,             0.94683,              0.6502,            0.029238,            0.061896,           0.0066569,           0.0026457,           0.0026457,           0.0026457
