               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0707,            0.079521,            0.065217,            0.085623,             0.79165,             0.12384,            0.059996,            0.044866,            0.066126,            0.062222,            0.070113,           0.0033208,           0.0033208
                   1,            0.050383,            0.065452,            0.058609,             0.21391,             0.72121,             0.32273,             0.18411,            0.035808,            0.064159,            0.047477,            0.040047,           0.0065883,           0.0065883
                   2,            0.044275,            0.061769,            0.043928,              0.3737,             0.82492,             0.49749,             0.28966,            0.038718,            0.065118,            0.033348,            0.009915,           0.0097897,           0.0097897
                   3,            0.039687,            0.059543,            0.034297,             0.61311,             0.84017,             0.68774,             0.38736,            0.034957,            0.061235,            0.024389,            0.009703,            0.009703,            0.009703
                   4,             0.03706,            0.057407,            0.027452,             0.76209,             0.86716,             0.84548,             0.52323,            0.032883,            0.060595,            0.016881,            0.009703,            0.009703,            0.009703
                   5,             0.03521,            0.056016,            0.022411,             0.89512,             0.87787,             0.91784,              0.5999,            0.031143,            0.059841,             0.01263,            0.009604,            0.009604,            0.009604
                   6,            0.034699,            0.056166,             0.01952,             0.93411,             0.90803,             0.94107,             0.62606,            0.030801,            0.058927,            0.010181,            0.009505,            0.009505,            0.009505
                   7,            0.033584,            0.054399,            0.017805,             0.94563,             0.90675,             0.94444,             0.63026,            0.030338,            0.058736,            0.009891,            0.009406,            0.009406,            0.009406
                   8,            0.033132,            0.054006,            0.016826,             0.94685,             0.92243,             0.94878,             0.62346,            0.030933,            0.059175,           0.0085176,            0.009307,            0.009307,            0.009307
                   9,            0.032452,            0.053718,             0.01538,             0.95192,             0.92711,             0.94911,             0.64649,            0.029492,            0.057825,           0.0079051,            0.009208,            0.009208,            0.009208
                  10,            0.032068,            0.052622,            0.014731,             0.95613,             0.92545,             0.94724,             0.64611,             0.02962,            0.058345,           0.0077697,            0.009109,            0.009109,            0.009109
                  11,            0.031844,            0.053069,            0.014198,             0.95504,             0.93084,             0.94816,             0.65617,            0.029008,            0.057787,           0.0079036,             0.00901,             0.00901,             0.00901
                  12,            0.031435,            0.052766,            0.013712,             0.95993,             0.93315,             0.95311,             0.65873,            0.029063,            0.058194,           0.0071285,            0.008911,            0.008911,            0.008911
                  13,            0.031032,             0.05201,            0.013155,             0.95969,             0.93396,             0.94986,             0.65433,             0.02902,            0.058034,           0.0070065,            0.008812,            0.008812,            0.008812
                  14,            0.030871,            0.051333,            0.012915,             0.96044,             0.93996,             0.95255,             0.66485,            0.028853,             0.05705,           0.0068549,            0.008713,            0.008713,            0.008713
                  15,            0.030624,            0.051792,            0.012483,              0.9624,             0.93315,             0.95397,             0.66125,            0.028889,            0.057811,           0.0070334,            0.008614,            0.008614,            0.008614
                  16,            0.030377,            0.051467,            0.012227,             0.96245,             0.94219,             0.95435,             0.66723,            0.028594,            0.057087,           0.0063391,            0.008515,            0.008515,            0.008515
                  17,            0.030384,            0.051345,            0.011943,             0.96965,             0.94169,             0.95616,             0.66401,            0.028997,            0.057074,           0.0064138,            0.008416,            0.008416,            0.008416
                  18,            0.029779,            0.050826,            0.011441,             0.96768,             0.94409,             0.95553,              0.6715,            0.028525,            0.057093,           0.0062929,            0.008317,            0.008317,            0.008317
                  19,            0.029566,            0.049928,            0.011295,             0.97001,             0.94468,             0.95696,             0.66675,            0.028583,            0.057496,           0.0059674,            0.008218,            0.008218,            0.008218
                  20,            0.029613,            0.050394,             0.01121,             0.97143,             0.94445,             0.95628,             0.67328,            0.028119,            0.056657,           0.0059587,            0.008119,            0.008119,            0.008119
                  21,            0.029603,            0.050008,            0.010924,               0.971,             0.94468,             0.95738,             0.67459,            0.028086,            0.056841,           0.0059165,             0.00802,             0.00802,             0.00802
                  22,            0.029166,            0.049115,            0.010824,              0.9703,             0.94799,             0.95707,             0.67332,            0.028205,            0.057048,            0.005657,            0.007921,            0.007921,            0.007921
                  23,            0.029206,            0.049763,            0.010488,             0.97173,             0.94941,             0.95729,              0.6739,            0.028126,            0.056565,           0.0059929,            0.007822,            0.007822,            0.007822
                  24,             0.02879,            0.048782,            0.010291,             0.97239,             0.94873,             0.95693,             0.67451,            0.028166,            0.056451,           0.0059348,            0.007723,            0.007723,            0.007723
                  25,            0.028663,            0.048774,            0.010022,             0.97164,             0.94873,             0.95616,             0.67505,            0.027977,            0.057038,           0.0055855,            0.007624,            0.007624,            0.007624
                  26,            0.028459,            0.048374,           0.0097331,             0.97584,             0.94889,             0.95813,             0.67666,            0.028062,            0.056808,           0.0052689,            0.007525,            0.007525,            0.007525
                  27,            0.028346,             0.04808,           0.0095784,             0.97484,             0.95071,             0.95789,             0.67797,            0.028176,            0.056585,           0.0053405,            0.007426,            0.007426,            0.007426
