               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083351,            0.081975,            0.066698,            0.056905,             0.57804,            0.090808,            0.038291,            0.058291,            0.073346,            0.063474,            0.070337,           0.0032959,           0.0032959
                   1,            0.059669,             0.06493,            0.062704,            0.092449,             0.63375,              0.1509,            0.071748,            0.051278,            0.073383,            0.059454,            0.040243,           0.0065355,           0.0065355
                   2,            0.051068,            0.061105,            0.055128,             0.17729,             0.64403,             0.24199,             0.12069,            0.043603,            0.069583,            0.048251,            0.010055,           0.0096807,           0.0096807
                   3,            0.043771,            0.057729,            0.044769,             0.31586,             0.74671,             0.40933,             0.23502,            0.037875,            0.066356,            0.039059,           0.0095757,           0.0095757,           0.0095757
                   4,            0.040122,            0.056241,            0.037816,             0.48878,             0.76034,             0.59451,             0.35803,            0.035163,            0.063463,            0.031643,           0.0095757,           0.0095757,           0.0095757
                   5,            0.038832,            0.055649,            0.031916,             0.58968,             0.85165,             0.64749,             0.38619,            0.034772,            0.063294,            0.025687,           0.0094343,           0.0094343,           0.0094343
                   6,            0.036611,            0.053825,            0.028207,             0.60541,              0.8648,             0.67985,               0.415,            0.033886,            0.060514,            0.023163,           0.0092929,           0.0092929,           0.0092929
                   7,            0.035564,            0.053307,            0.026053,             0.68083,             0.83098,             0.76261,             0.47455,            0.033142,            0.061209,            0.021871,           0.0091514,           0.0091514,           0.0091514
                   8,            0.035368,               0.054,            0.022489,             0.81107,              0.8221,             0.85945,             0.53675,             0.03238,            0.060383,            0.016843,             0.00901,             0.00901,             0.00901
                   9,            0.034262,            0.052765,            0.019927,             0.88689,             0.83797,               0.901,             0.57658,            0.031467,            0.059985,            0.015801,           0.0088686,           0.0088686,           0.0088686
                  10,            0.033646,            0.052177,            0.018022,             0.90278,             0.88746,             0.92033,             0.59828,            0.032422,            0.059676,            0.012388,           0.0087271,           0.0087271,           0.0087271
                  11,             0.03324,            0.051165,            0.016358,             0.91161,              0.8822,             0.92439,             0.58165,            0.033274,             0.06049,            0.011975,           0.0085857,           0.0085857,           0.0085857
                  12,            0.033011,            0.051587,            0.015175,             0.93507,             0.90149,             0.93764,             0.61754,            0.031734,            0.058931,            0.010599,           0.0084443,           0.0084443,           0.0084443
                  13,            0.032291,            0.050642,             0.01468,              0.9345,             0.90108,             0.93949,             0.63094,            0.030296,            0.058696,            0.010077,           0.0083029,           0.0083029,           0.0083029
                  14,            0.032323,            0.050447,            0.013872,             0.94169,             0.90723,             0.94463,             0.63253,            0.030493,            0.058844,           0.0093036,           0.0081614,           0.0081614,           0.0081614
                  15,            0.031532,            0.049118,            0.013237,             0.93829,             0.91394,             0.94131,             0.62515,            0.031188,             0.05982,           0.0091573,             0.00802,             0.00802,             0.00802
                  16,            0.031425,             0.05098,            0.012748,             0.94105,             0.91657,             0.94345,             0.63667,            0.030152,            0.059035,           0.0091466,           0.0078786,           0.0078786,           0.0078786
                  17,            0.031026,            0.049338,            0.012019,             0.94676,             0.92359,             0.94689,             0.64212,            0.029956,            0.058093,           0.0084678,           0.0077371,           0.0077371,           0.0077371
                  18,            0.031229,            0.050361,            0.011602,             0.92277,               0.896,              0.9221,             0.60465,            0.031198,            0.059697,            0.010776,           0.0075957,           0.0075957,           0.0075957
                  19,            0.030588,            0.049851,            0.011482,             0.95289,             0.92273,             0.94623,             0.64382,            0.029748,            0.057938,           0.0085288,           0.0074543,           0.0074543,           0.0074543
                  20,            0.029999,            0.048765,            0.010833,              0.9396,             0.90836,             0.94008,             0.64272,            0.029746,            0.058743,           0.0089958,           0.0073129,           0.0073129,           0.0073129
                  21,            0.030275,            0.048659,            0.010951,             0.94235,             0.92445,             0.94394,             0.63705,            0.030298,             0.05885,           0.0084576,           0.0071714,           0.0071714,           0.0071714
                  22,            0.029937,            0.048522,            0.010663,             0.95169,             0.93537,             0.94603,              0.6516,            0.029272,            0.058484,           0.0073207,             0.00703,             0.00703,             0.00703
                  23,            0.029713,            0.048482,            0.010717,             0.95512,             0.92594,               0.945,             0.64739,             0.02961,             0.05837,            0.007334,           0.0068886,           0.0068886,           0.0068886
                  24,             0.03002,            0.048023,            0.010257,             0.94565,              0.9189,             0.94128,             0.63748,            0.030196,            0.058792,           0.0082052,           0.0067471,           0.0067471,           0.0067471
                  25,            0.029227,            0.048485,            0.010033,             0.95991,             0.93227,             0.95021,             0.65448,            0.029452,            0.057472,           0.0075179,           0.0066057,           0.0066057,           0.0066057
                  26,            0.028862,            0.047641,           0.0095199,             0.95827,             0.92806,             0.95032,             0.65136,            0.029393,            0.057684,           0.0071044,           0.0064643,           0.0064643,           0.0064643
                  27,            0.028759,            0.047995,             0.00926,             0.96207,             0.93749,             0.95174,             0.65865,            0.029004,            0.057535,            0.006711,           0.0063229,           0.0063229,           0.0063229
                  28,            0.028716,            0.046798,           0.0090935,             0.96183,             0.93936,             0.95258,             0.66222,            0.028745,            0.056836,           0.0065506,           0.0061814,           0.0061814,           0.0061814
                  29,             0.02828,            0.047496,           0.0088845,              0.9672,             0.93664,             0.94988,             0.65242,             0.02936,            0.057414,           0.0062327,             0.00604,             0.00604,             0.00604
                  30,             0.02812,            0.046126,           0.0086583,              0.9675,             0.93946,             0.95361,             0.66384,            0.028881,            0.057667,           0.0064554,           0.0058986,           0.0058986,           0.0058986
                  31,              0.0281,            0.047358,           0.0085766,             0.96472,              0.9424,              0.9531,             0.66371,            0.028728,            0.057547,           0.0063948,           0.0057571,           0.0057571,           0.0057571
                  32,            0.028197,            0.045817,           0.0088186,             0.96019,             0.93709,             0.95362,             0.66505,            0.028675,            0.056918,             0.00659,           0.0056157,           0.0056157,           0.0056157
                  33,            0.028424,            0.046864,           0.0083835,             0.96158,             0.94168,             0.95123,              0.6659,            0.028477,            0.056736,           0.0067113,           0.0054743,           0.0054743,           0.0054743
                  34,            0.028041,            0.046296,            0.008254,              0.9681,             0.93981,              0.9558,             0.66664,            0.028953,            0.057106,           0.0064853,           0.0053329,           0.0053329,           0.0053329
                  35,            0.027339,            0.046378,           0.0079552,             0.96586,             0.94295,             0.95328,             0.66793,            0.028539,            0.057173,           0.0070473,           0.0051914,           0.0051914,           0.0051914
                  36,            0.027539,            0.047139,           0.0079263,             0.96835,             0.94747,             0.95506,             0.66683,            0.028675,            0.057283,           0.0058293,             0.00505,             0.00505,             0.00505
                  37,            0.027169,             0.04567,            0.007744,             0.96978,             0.94741,              0.9561,             0.67218,            0.028476,            0.056681,           0.0058854,           0.0049086,           0.0049086,           0.0049086
                  38,            0.027285,            0.045396,           0.0078376,             0.96839,              0.9473,             0.95488,             0.67073,            0.028355,            0.056856,           0.0059092,           0.0047671,           0.0047671,           0.0047671
                  39,            0.026721,            0.044745,           0.0074483,             0.96794,             0.94674,             0.95608,             0.67097,            0.028643,            0.056891,             0.00588,           0.0046257,           0.0046257,           0.0046257
                  40,            0.026931,            0.045521,           0.0074788,             0.97206,             0.94666,             0.95636,             0.67405,            0.028312,             0.05656,            0.005743,           0.0044843,           0.0044843,           0.0044843
                  41,            0.026594,            0.044795,           0.0073346,             0.96848,             0.94527,               0.956,             0.67365,            0.028311,            0.056597,           0.0057162,           0.0043429,           0.0043429,           0.0043429
                  42,            0.026603,            0.045352,           0.0070581,             0.97092,              0.9496,             0.95561,             0.67585,              0.0283,            0.056748,           0.0054562,           0.0042014,           0.0042014,           0.0042014
                  43,            0.026692,            0.044973,            0.007225,             0.96524,             0.94167,             0.95356,             0.67059,            0.028592,            0.057075,           0.0061142,             0.00406,             0.00406,             0.00406
                  44,            0.026429,            0.044335,           0.0070472,             0.97136,             0.94807,             0.95638,             0.67548,             0.02835,            0.056693,           0.0058262,           0.0039186,           0.0039186,           0.0039186
                  45,            0.026042,            0.044352,           0.0067461,             0.97139,               0.948,             0.95813,             0.67676,            0.028367,            0.056407,           0.0055079,           0.0037771,           0.0037771,           0.0037771
                  46,            0.026113,            0.044227,           0.0068457,             0.97207,             0.94915,             0.95834,             0.67815,            0.028272,            0.056505,           0.0056897,           0.0036357,           0.0036357,           0.0036357
                  47,            0.026142,            0.044615,           0.0067801,             0.96987,             0.94423,             0.95589,             0.66848,            0.028618,            0.057266,           0.0055553,           0.0034943,           0.0034943,           0.0034943
                  48,            0.025502,             0.04393,           0.0063341,              0.9716,             0.94888,              0.9558,             0.67526,            0.028331,            0.057462,           0.0057252,           0.0033529,           0.0033529,           0.0033529
                  49,            0.025612,            0.044567,           0.0063505,             0.97249,             0.95229,             0.95665,             0.67676,            0.028187,            0.056974,            0.005454,           0.0032114,           0.0032114,           0.0032114
                  50,            0.025677,            0.043647,           0.0064573,             0.97253,             0.94582,             0.95639,              0.6749,            0.028208,            0.057493,           0.0056841,             0.00307,             0.00307,             0.00307
                  51,            0.025517,            0.043784,            0.006409,             0.97367,             0.94871,             0.95769,             0.67779,            0.028224,             0.05694,           0.0056573,           0.0029286,           0.0029286,           0.0029286
                  52,            0.025329,            0.043222,           0.0063094,              0.9756,             0.94836,             0.95752,             0.67848,            0.028015,            0.057331,           0.0055345,           0.0027871,           0.0027871,           0.0027871
                  53,            0.025203,            0.042939,           0.0059701,             0.97124,             0.95044,             0.95515,              0.6768,            0.027999,            0.057295,           0.0056401,           0.0026457,           0.0026457,           0.0026457
                  54,            0.025366,            0.043839,           0.0060873,             0.97289,             0.95042,             0.95645,             0.67808,            0.028036,            0.056805,           0.0056606,           0.0025043,           0.0025043,           0.0025043
                  55,            0.024972,            0.044009,           0.0059488,             0.97194,             0.95152,             0.95526,             0.67962,            0.027871,            0.057102,           0.0058478,           0.0023629,           0.0023629,           0.0023629
                  56,             0.02455,            0.042235,           0.0056505,             0.97318,             0.95179,             0.95603,             0.67955,            0.028042,            0.057471,           0.0057218,           0.0022214,           0.0022214,           0.0022214
                  57,            0.024619,            0.042444,           0.0057821,              0.9747,             0.95052,             0.95791,             0.68152,            0.027873,            0.056989,           0.0055672,             0.00208,             0.00208,             0.00208
                  58,            0.024225,            0.041777,           0.0054307,             0.97466,             0.95118,             0.95662,             0.68033,            0.027903,            0.057329,           0.0055909,           0.0019386,           0.0019386,           0.0019386
                  59,            0.024403,            0.042299,           0.0054843,              0.9755,             0.95143,             0.95768,             0.68375,            0.027904,            0.057249,           0.0053213,           0.0017971,           0.0017971,           0.0017971
                  60,            0.024129,            0.041895,           0.0054923,             0.97576,             0.95003,             0.95756,             0.68238,            0.028006,            0.057105,           0.0053437,           0.0016557,           0.0016557,           0.0016557
                  61,            0.024454,            0.041928,           0.0055555,             0.97546,             0.95146,             0.95713,             0.68439,            0.027855,            0.056982,           0.0055723,           0.0015143,           0.0015143,           0.0015143
