               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0707,            0.079521,            0.065217,            0.085623,             0.79165,             0.12384,            0.059996,            0.044866,            0.066126,            0.062222,            0.070113,           0.0033208,           0.0033208
                   1,            0.050084,            0.065496,            0.058668,             0.20905,             0.72926,             0.32323,             0.18438,            0.036075,            0.063149,            0.047652,            0.039849,           0.0063906,           0.0063906
                   2,            0.044153,            0.061683,             0.04413,             0.39905,             0.79483,             0.51126,              0.3112,            0.035266,            0.063349,            0.033913,           0.0093218,           0.0091965,           0.0091965
                   3,            0.039284,            0.059241,            0.034514,             0.60724,             0.85667,             0.68529,             0.41895,            0.032704,            0.060938,            0.024026,            0.008812,            0.008812,            0.008812
                   4,            0.037017,            0.057273,            0.027589,             0.79345,             0.82878,             0.85064,             0.53568,            0.032509,             0.06093,            0.017391,            0.008812,            0.008812,            0.008812
                   5,            0.035002,            0.055782,             0.02226,             0.91666,             0.88595,             0.92473,             0.60707,            0.031123,             0.06055,            0.011663,            0.008416,            0.008416,            0.008416
                   6,            0.034291,            0.055814,            0.019244,             0.92013,             0.89564,             0.93273,             0.62366,            0.030472,            0.058746,            0.010746,             0.00802,             0.00802,             0.00802
                   7,            0.033157,            0.054003,            0.017491,             0.92399,             0.90265,             0.93514,             0.62433,            0.030186,            0.058999,           0.0096625,            0.007624,            0.007624,            0.007624
                   8,            0.032509,            0.053404,             0.01626,             0.94835,             0.92598,              0.9481,             0.63718,            0.030145,            0.058664,           0.0077294,            0.007228,            0.007228,            0.007228
                   9,             0.03169,            0.053019,            0.014828,             0.94846,              0.9233,             0.94696,             0.64658,            0.029387,            0.057833,           0.0079058,            0.006832,            0.006832,            0.006832
                  10,            0.031209,            0.051803,            0.014125,             0.96256,             0.93422,             0.95303,               0.656,            0.029077,            0.057633,           0.0069192,            0.006436,            0.006436,            0.006436
                  11,            0.030842,              0.0521,            0.013404,             0.95925,             0.93485,             0.95054,              0.6567,            0.029091,            0.057733,           0.0071783,             0.00604,             0.00604,             0.00604
                  12,            0.030272,             0.05156,            0.012832,             0.96727,             0.93604,             0.95361,             0.66356,            0.028809,            0.057564,           0.0065562,            0.005644,            0.005644,            0.005644
                  13,            0.029738,            0.050761,            0.012172,             0.96877,             0.94616,             0.95687,             0.66837,            0.028641,            0.057269,            0.005943,            0.005248,            0.005248,            0.005248
                  14,             0.02946,            0.049866,            0.011755,             0.96331,             0.93906,             0.95152,             0.66946,            0.028496,            0.057025,           0.0065505,            0.004852,            0.004852,            0.004852
                  15,            0.028979,            0.050008,            0.011173,              0.9674,             0.94528,             0.95369,             0.66964,            0.028274,            0.057091,           0.0061674,            0.004456,            0.004456,            0.004456
                  16,            0.028577,             0.04952,            0.010775,             0.96674,             0.94398,             0.95441,             0.66667,            0.028579,            0.057294,            0.005985,             0.00406,             0.00406,             0.00406
                  17,            0.028439,            0.049291,            0.010477,              0.9704,             0.94621,             0.95477,             0.67001,            0.028584,            0.057271,           0.0060255,            0.003664,            0.003664,            0.003664
                  18,             0.02773,            0.048639,           0.0098707,             0.97077,             0.94806,             0.95494,             0.67512,            0.028214,             0.05693,           0.0059072,            0.003268,            0.003268,            0.003268
                  19,             0.02724,            0.047468,           0.0094985,             0.97378,             0.94808,              0.9572,             0.67118,            0.028448,            0.057453,           0.0056235,            0.002872,            0.002872,            0.002872
                  20,            0.027186,             0.04759,           0.0092235,             0.97364,             0.94948,             0.95757,             0.67766,             0.02798,            0.056913,           0.0054842,            0.002476,            0.002476,            0.002476
                  21,            0.026981,            0.047058,           0.0089288,             0.97577,             0.95077,             0.95723,             0.68192,            0.028021,              0.0567,           0.0053915,             0.00208,             0.00208,             0.00208
                  22,            0.026366,            0.045967,           0.0086265,             0.97582,             0.95016,              0.9564,              0.6785,            0.028127,            0.057379,           0.0053218,            0.001684,            0.001684,            0.001684
                  23,            0.026226,            0.046301,           0.0082135,             0.97678,             0.95139,             0.95795,             0.68381,            0.027905,            0.056916,           0.0052974,            0.001288,            0.001288,            0.001288
                  24,            0.025688,            0.045201,           0.0078445,              0.9747,             0.95166,             0.95678,             0.68173,            0.027826,            0.057138,           0.0054362,            0.000892,            0.000892,            0.000892
