               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027959,            0.047113,           0.0083138,             0.95968,             0.93756,             0.94905,              0.6614,            0.028757,            0.057462,           0.0072421,           0.0064568,           0.0064568,           0.0064568
                  36,            0.028225,            0.047933,           0.0082082,             0.96531,             0.94406,             0.95446,             0.66274,            0.028929,            0.057654,           0.0062016,           0.0063526,           0.0063526,           0.0063526
                  37,            0.027783,            0.046408,           0.0081116,             0.95969,              0.9415,             0.94792,              0.6613,            0.028866,            0.057674,           0.0066556,           0.0062484,           0.0062484,           0.0062484
                  38,            0.027935,            0.046087,           0.0083349,             0.96503,             0.94557,             0.95312,             0.66752,            0.028419,            0.057409,            0.006415,           0.0061442,           0.0061442,           0.0061442
                  39,            0.027354,            0.045492,           0.0078225,             0.96816,             0.94524,             0.95449,             0.67001,            0.028545,            0.056624,           0.0059837,             0.00604,             0.00604,             0.00604
                  40,            0.027655,            0.046242,           0.0077516,              0.9682,             0.94412,             0.95535,             0.67043,            0.028328,            0.056863,           0.0061057,           0.0059358,           0.0059358,           0.0059358
                  41,            0.027229,            0.045531,           0.0076934,             0.96399,             0.94476,             0.95557,             0.66658,            0.028627,            0.057215,            0.006083,           0.0058316,           0.0058316,           0.0058316
                  42,            0.027234,            0.046143,           0.0074797,             0.96794,             0.94386,             0.95254,             0.66497,            0.028576,            0.057842,           0.0059722,           0.0057274,           0.0057274,           0.0057274
                  43,            0.027417,            0.045842,           0.0076514,             0.97059,             0.94581,             0.95685,             0.67228,             0.02847,            0.056856,            0.005764,           0.0056232,           0.0056232,           0.0056232
                  44,            0.027253,            0.045299,           0.0075036,              0.9699,             0.94657,             0.95546,             0.66988,            0.028433,            0.056657,           0.0058993,           0.0055189,           0.0055189,           0.0055189
                  45,            0.026729,            0.045166,           0.0071284,             0.96955,             0.94601,              0.9573,             0.67187,            0.028249,            0.056859,           0.0056719,           0.0054147,           0.0054147,           0.0054147
                  46,             0.02683,            0.045117,           0.0074049,             0.97068,             0.94542,             0.95569,             0.67506,            0.028189,            0.056958,           0.0058822,           0.0053105,           0.0053105,           0.0053105
                  47,            0.027028,            0.045586,           0.0072608,             0.96881,             0.94649,              0.9552,             0.67248,             0.02823,            0.056973,           0.0060422,           0.0052063,           0.0052063,           0.0052063
                  48,             0.02638,            0.044941,            0.006837,             0.96769,             0.94653,             0.95316,             0.66438,            0.028543,            0.058242,           0.0060247,           0.0051021,           0.0051021,           0.0051021
                  49,            0.026438,            0.045634,           0.0068607,             0.97113,              0.9481,              0.9556,             0.67253,            0.028292,             0.05731,           0.0058108,           0.0049979,           0.0049979,           0.0049979
                  50,            0.026648,            0.044783,           0.0069368,             0.97284,             0.94729,             0.95737,             0.67308,             0.02824,            0.057258,            0.005803,           0.0048937,           0.0048937,           0.0048937
                  51,            0.026411,             0.04478,            0.006845,             0.97155,             0.94756,             0.95756,             0.67771,            0.027979,            0.056852,           0.0057803,           0.0047895,           0.0047895,           0.0047895
                  52,            0.026269,            0.044398,           0.0068776,              0.9725,             0.95052,             0.95731,             0.67603,            0.028176,            0.057097,           0.0055283,           0.0046853,           0.0046853,           0.0046853
                  53,            0.026274,            0.044211,           0.0065543,             0.97164,             0.94972,              0.9547,             0.67391,             0.02808,            0.057334,           0.0058447,           0.0045811,           0.0045811,           0.0045811
                  54,            0.026398,             0.04505,           0.0067241,             0.97135,             0.94511,             0.95395,             0.67278,            0.028267,            0.056978,             0.00569,           0.0044768,           0.0044768,           0.0044768
                  55,            0.025968,            0.045201,           0.0065377,             0.96995,             0.94713,              0.9538,             0.67396,            0.028185,            0.057493,           0.0056352,           0.0043726,           0.0043726,           0.0043726
                  56,            0.025718,            0.043522,           0.0062481,             0.96748,             0.94999,             0.95436,              0.6738,            0.028117,            0.057442,           0.0056381,           0.0042684,           0.0042684,           0.0042684
                  57,              0.0257,            0.043743,           0.0064382,             0.97014,             0.95113,             0.95564,             0.67822,            0.027999,            0.057305,           0.0055115,           0.0041642,           0.0041642,           0.0041642
                  58,            0.025267,            0.043001,           0.0059615,             0.96952,             0.94925,             0.95585,             0.67579,            0.028062,            0.057354,           0.0056916,             0.00406,             0.00406,             0.00406
                  59,            0.025495,            0.043574,           0.0060306,             0.97164,             0.94966,              0.9558,             0.67815,            0.027994,            0.057167,            0.005553,           0.0039558,           0.0039558,           0.0039558
                  60,            0.025252,            0.043306,           0.0060014,             0.97293,             0.94992,             0.95642,             0.68056,            0.027864,            0.056479,           0.0054264,           0.0038516,           0.0038516,           0.0038516
                  61,             0.02556,            0.043274,           0.0061981,             0.96848,             0.95155,             0.95532,             0.68046,            0.027981,            0.056805,           0.0054476,           0.0037474,           0.0037474,           0.0037474
                  62,            0.025385,            0.044097,           0.0060364,             0.97159,             0.95114,              0.9554,             0.68109,            0.027991,             0.05707,           0.0054991,           0.0036432,           0.0036432,           0.0036432
                  63,             0.02519,            0.043415,           0.0058471,             0.97377,             0.95044,             0.95612,             0.67959,              0.0279,            0.057064,           0.0052628,           0.0035389,           0.0035389,           0.0035389
                  64,            0.025511,            0.043154,           0.0060638,              0.9702,             0.95282,             0.95441,              0.6792,            0.027875,            0.056746,           0.0054663,           0.0034347,           0.0034347,           0.0034347
                  65,            0.025197,            0.043314,           0.0058927,             0.97268,             0.95163,             0.95531,             0.68254,            0.027944,            0.057406,           0.0056858,           0.0033305,           0.0033305,           0.0033305
                  66,            0.024862,            0.042107,           0.0059726,             0.97296,              0.9502,             0.95645,             0.68226,            0.027921,            0.057333,           0.0054782,           0.0032263,           0.0032263,           0.0032263
                  67,             0.02477,            0.042123,           0.0056155,             0.97245,             0.94999,             0.95544,             0.68211,            0.027922,            0.057366,           0.0058962,           0.0031221,           0.0031221,           0.0031221
