               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028641,            0.047227,            0.008773,               0.962,             0.94173,             0.95162,             0.66369,            0.028609,            0.057415,           0.0066661,            0.008812,            0.008812,            0.008812
                  38,            0.028991,            0.047155,           0.0088575,             0.96168,             0.94073,             0.95152,              0.6612,             0.02884,            0.057144,           0.0069261,            0.008779,            0.008779,            0.008779
                  39,            0.028403,            0.046384,           0.0084669,             0.96581,             0.94092,             0.95397,              0.6623,            0.028935,            0.056904,           0.0060904,            0.008746,            0.008746,            0.008746
                  40,            0.028746,            0.047237,           0.0084383,             0.96527,             0.94105,             0.95303,             0.66558,            0.028832,            0.056837,            0.006501,            0.008713,            0.008713,            0.008713
                  41,            0.028486,            0.046617,           0.0083553,             0.96394,             0.93915,             0.95171,             0.65868,            0.028942,            0.057347,           0.0065277,             0.00868,             0.00868,             0.00868
                  42,            0.028382,            0.047227,           0.0080174,             0.96714,             0.94594,             0.95302,              0.6667,            0.028716,            0.057528,           0.0060725,            0.008647,            0.008647,            0.008647
                  43,            0.028497,            0.046904,            0.008325,             0.96762,             0.94118,              0.9533,             0.66519,            0.028867,            0.057315,           0.0062167,            0.008614,            0.008614,            0.008614
                  44,            0.028552,            0.046526,           0.0083254,             0.96654,             0.94093,              0.9531,             0.66278,            0.028757,            0.057122,            0.006077,            0.008581,            0.008581,            0.008581
                  45,            0.028037,            0.046474,           0.0079653,              0.9633,             0.94449,             0.95387,             0.67054,            0.028499,            0.056664,           0.0061174,            0.008548,            0.008548,            0.008548
                  46,            0.028196,            0.046553,           0.0083059,             0.96857,             0.94137,             0.95604,             0.67076,            0.028305,            0.056659,           0.0059791,            0.008515,            0.008515,            0.008515
                  47,            0.028332,            0.047075,           0.0082772,              0.9675,             0.94298,              0.9559,             0.66685,            0.028611,            0.056833,           0.0059609,            0.008482,            0.008482,            0.008482
                  48,            0.027846,            0.046322,           0.0077534,              0.9654,             0.94409,             0.95205,             0.66545,            0.028541,            0.057744,           0.0062911,            0.008449,            0.008449,            0.008449
                  49,            0.027831,            0.047014,           0.0077521,             0.96948,              0.9455,             0.95482,             0.67067,             0.02829,            0.057386,           0.0061219,            0.008416,            0.008416,            0.008416
